cell_line,drug,moa,n_cells,effect_size,effect_cosine,n_deg,replicate_noise,snr,nn_drug,nn_dist,isolation,ceiling_nir
CVCL_1717,Anethole trithione,unclear,8,3.064032977659563,0.13260088287330218,206,5.887970012786433,0.5203886859147802,Goserelin (acetate),4.201648345832925,0.713598801744666,0.10975609756097561
CVCL_1717,Ataluren,unclear,10,2.5700086564735596,0.11405753179963696,145,4.8127652933340865,0.5339983356414962,Goserelin (acetate),3.872840921087438,0.8047018055194818,0.7073170731707317
CVCL_1717,Azithromycin (hydrate),unclear,14,2.3171624410898533,0.07609099627536875,107,4.195149226617243,0.5523432697907379,Goserelin (acetate),3.090836977521394,0.7367644893084505,0.8170731707317073
CVCL_1717,Baicalin,unclear,10,2.6874544963354245,0.10763359989698917,149,4.873342931444002,0.5514601648480985,Goserelin (acetate),3.735357134607338,0.7664876424981093,0.6951219512195121
CVCL_1717,Benztropine (mesylate),unclear,9,2.7531544038099076,0.10891172542897609,143,5.281636919530309,0.5212691530592268,Goserelin (acetate),4.3376547513786745,0.8212709085206141,0.14634146341463414
CVCL_1717,Berbamine (dihydrochloride),unclear,8,2.7802427331075794,0.13612961282853153,181,5.475137580760324,0.5077941315807979,Chlorhexidine (diacetate),4.294707862873948,0.7844018163060568,0.25609756097560976
CVCL_1717,Berberine (chloride hydrate),unclear,11,2.8179054380157313,0.07120656285403837,79,5.033453330321984,0.5598354157851054,Goserelin (acetate),3.705495653983045,0.7361736388138934,0.6585365853658537
CVCL_1717,Bergenin,unclear,13,2.4853887956922947,0.0834795387544568,86,4.2462910190545555,0.5853081629449107,Goserelin (acetate),3.628270691180816,0.8544564361932633,0.8170731707317073
CVCL_1717,Busulfan,DNA synthesis/repair inhibitor,13,2.2444260300927703,0.09842628726760017,159,4.183314611454541,0.536518583600477,Goserelin (acetate),3.695211686236164,0.8833214877308346,0.8536585365853658
CVCL_1717,Canagliflozin,Glucose transporter inhibitor,8,2.9860942737296163,0.16247196310192236,244,5.65395565871234,0.528142499513285,Goserelin (acetate),4.490557208382506,0.7942328308611476,0.2926829268292683
CVCL_1717,Carbamazepine,HDAC inhibitor,10,2.729743251351585,0.1314390311973188,200,5.017369761934059,0.5440586165408194,Goserelin (acetate),4.129695051538731,0.8230796707211083,0.4878048780487805
CVCL_1717,Cepharanthine,unclear,11,2.734124997593535,0.07732544488108029,56,5.401961958924841,0.5061355519315266,Goserelin (acetate),4.1435836839838665,0.767051622260696,0.23170731707317074
CVCL_1717,Chlorhexidine (diacetate),unclear,19,2.1579303582282447,0.0690925880949812,61,3.4894415984161036,0.6184171012369869,Goserelin (acetate),3.116959963575204,0.8932546585648623,0.9390243902439024
CVCL_1717,Ciclopirox,unclear,18,2.2003397848117756,0.09763004607624426,124,3.8730551901890324,0.5681147509556618,Goserelin (acetate),3.590871666697065,0.9271418790502196,0.9512195121951219
