tier,cell_line,drug,n_cells,ceiling,model,linear,mean,snr,isolation,effect_size,n_deg,moa,nn_drug
tier2_unseen_drugs,CVCL_0459,palbociclib,30,0.8823529411764706,0.7058823529411765,0.9117647058823529,0.5882352941176471,0.6968391116351317,1.045409535289791,1.8324230048819166,46,CDK inhibitor,Omeprazole
tier2_unseen_drugs,CVCL_0459,TAK-901,21,0.6176470588235294,0.029411764705882353,0.5882352941176471,0.0,0.7278702537074057,0.9253214518589804,2.283055445523806,79,unclear,palbociclib
tier2_unseen_drugs,CVCL_0459,Vemurafenib,22,0.7941176470588235,0.058823529411764705,0.7647058823529411,0.20588235294117646,0.657119124697676,0.9512068680506405,2.039430877938692,64,RAF inhibitor,Tolcapone
tier2_unseen_drugs,CVCL_0459,Anastrozole,29,0.9705882352941176,0.8235294117647058,0.7941176470588235,0.5882352941176471,0.6963736828012368,0.9556620373133314,2.0278197166359218,57,unclear,Vitamin K4
tier2_unseen_drugs,CVCL_0459,HI-TOPK-032,23,0.7352941176470589,0.5,0.4117647058823529,0.3235294117647059,0.645769002025553,0.9129157316726463,2.0072955872632736,64,unclear,palbociclib
tier2_unseen_drugs,CVCL_0480,Naproxen,30,0.8888888888888888,0.8333333333333334,0.6111111111111112,0.5,0.6866377606527784,0.8876805130309008,1.955758336892913,106,Cyclooxygenase inhibitor,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Canagliflozin,24,0.8888888888888888,0.9444444444444444,0.0,0.1111111111111111,0.6878975236711008,0.9117391539955334,2.2225616412775593,167,Glucose transporter inhibitor,ULK-101
tier2_unseen_drugs,CVCL_0480,Dexmedetomidine,24,0.8888888888888888,0.7777777777777778,0.3888888888888889,0.2222222222222222,0.5962262366678297,0.8360424574771802,1.8797673425208479,91,Adrenoceptor agonist,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",30,1.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.6682954318249094,0.9490712985091859,1.9052250267224093,102,Glucose transporter inhibitor,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Mozavaptan,25,0.8888888888888888,0.3888888888888889,0.1111111111111111,0.16666666666666666,0.6722880054966828,0.9327328694024677,2.0961848584017457,145,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Tetracycline (hydrochloride),27,0.8888888888888888,0.9444444444444444,0.05555555555555555,0.5,0.5861119470246575,0.8807403429214228,1.8391031374485012,116,unclear,"Dapagliflozin ((2S)-1,2-propanediol, hydrate)"
tier2_unseen_drugs,CVCL_0480,Berbamine (dihydrochloride),21,0.7222222222222222,0.2222222222222222,0.5555555555555556,0.16666666666666666,0.6123975718553233,0.884795901572759,2.0119314636000674,81,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Valdecoxib,23,0.9444444444444444,0.4444444444444444,0.7222222222222222,0.16666666666666666,0.6710952632301158,0.8458546990234742,2.10256086565563,73,Cyclooxygenase inhibitor,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Ataluren,23,0.8333333333333334,0.4444444444444444,0.6666666666666666,0.6111111111111112,0.5717958342442688,0.8211441492639864,1.7291602364292404,97,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Benztropine (mesylate),21,0.8333333333333334,0.8888888888888888,0.3333333333333333,0.4444444444444444,0.4950353361864419,0.7857073697229741,1.8411351883786642,152,unclear,ULK-101
tier2_unseen_drugs,CVCL_0480,Carbamazepine,26,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.3333333333333333,0.5845619317707594,0.8068905323518915,1.8238106082154084,91,HDAC inhibitor,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Abiraterone acetate,23,0.8333333333333334,0.5,0.4444444444444444,0.2777777777777778,0.6415826767548062,0.88058107328583,2.0205747746614082,152,unclear,ULK-101
tier2_unseen_drugs,CVCL_0480,Proglumide,23,0.6666666666666666,0.05555555555555555,0.2222222222222222,0.16666666666666666,0.624267969439911,0.8881975504643482,1.9610590064836793,150,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Delamanid,23,0.8333333333333334,0.6111111111111112,0.5,0.5,0.5078350491664684,0.8023515205406347,1.7406653709561575,111,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Vitamin K4,20,0.8888888888888888,0.05555555555555555,0.8888888888888888,0.05555555555555555,0.7009379903441713,0.9032473254821499,2.3215389840921126,96,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Aprepitant,24,0.8888888888888888,0.6666666666666666,0.7777777777777778,0.3333333333333333,0.6515994539133695,0.8582390746791924,1.9130542376099766,126,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Estrone sulfate (potassium),25,0.8333333333333334,0.3888888888888889,0.2777777777777778,0.2777777777777778,0.6593369448611608,0.9108019957524792,2.0626138512527605,131,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Sonidegib,24,1.0,0.1111111111111111,0.9444444444444444,0.05555555555555555,0.6966336193571513,0.855046278789621,2.1604623846704833,80,Sonic inhibitor,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,DTP3,21,0.8888888888888888,0.0,1.0,0.0,0.7524030101904313,0.9147436924779816,2.598271164613977,95,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_1285,Anethole trithione,20,1.0,0.5,1.0,0.0,0.6296272952083868,0.7896324447557825,2.1202915551693207,80,unclear,Docetaxel
tier2_unseen_drugs,CVCL_1285,Dexmedetomidine,25,1.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.605876363920427,0.8821432490209474,1.7671603691276117,79,Adrenoceptor agonist,Thymol
tier2_unseen_drugs,CVCL_1285,"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",20,1.0,0.5,0.0,0.0,0.6755842672054855,0.8941833069208224,2.0825899285190284,156,Glucose transporter inhibitor,Thymol
tier2_unseen_drugs,CVCL_1285,Docetaxel (Trihydrate),26,1.0,1.0,0.6666666666666666,0.3333333333333333,0.7196831366079672,0.9764918904580728,2.019434472801162,93,Microtubule inhibitor,Thymol
tier2_unseen_drugs,CVCL_1285,Berbamine (dihydrochloride),20,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5870235768489527,0.8029325050181092,1.8396900120678006,98,unclear,Thymol
tier2_unseen_drugs,CVCL_1285,Budesonide,23,1.0,0.16666666666666666,0.8333333333333334,0.0,0.7940097512356112,1.0110078779222877,2.5546309387798782,109,Glucocorticoid receptor agonist,Docetaxel
tier2_unseen_drugs,CVCL_1285,Benztropine (mesylate),23,1.0,0.8333333333333334,0.5,0.3333333333333333,0.6236655935251094,0.8434723590954474,1.8375705378836764,77,unclear,Thymol
tier2_unseen_drugs,CVCL_0546,Tolcapone,24,0.5777777777777777,0.8444444444444444,0.6444444444444445,0.37777777777777777,0.5475167145872887,0.7398970009560165,1.8020880025842758,99,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Aliskiren,30,0.9333333333333333,0.7777777777777778,0.5333333333333333,0.8444444444444444,0.6121963871426417,0.815469155088211,1.7740405051230652,83,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Saquinavir,24,0.9777777777777777,0.28888888888888886,0.2,0.4222222222222222,0.5516456536966767,0.7645214861948384,1.8191423921529064,141,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Almonertinib (hydrochloride),28,0.8888888888888888,0.24444444444444444,0.5777777777777777,0.7333333333333333,0.6535429915979215,0.8358901229271932,1.8367822493024661,103,EGFR/ERBB inhibitor,Afatinib
tier2_unseen_drugs,CVCL_0546,Azithromycin (hydrate),30,0.9777777777777777,1.0,0.4222222222222222,0.8888888888888888,0.6049673179879306,0.8023515712710441,1.6697956715115527,98,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Clonidine (hydrochloride),29,1.0,0.9333333333333333,0.9111111111111111,0.4444444444444444,0.6908976674571814,0.8160931923262592,2.163980038954704,84,Adrenoceptor agonist,Afatinib
tier2_unseen_drugs,CVCL_0546,Berbamine,29,1.0,0.8,0.8444444444444444,0.13333333333333333,0.6644203827682704,0.7827289291069759,2.0278430744528637,70,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Baicalin,23,0.3111111111111111,0.1111111111111111,0.7777777777777778,0.13333333333333333,0.6115906424530471,0.7699740652812351,1.9908659706723233,76,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Lipoic acid,28,0.5555555555555556,0.4666666666666667,0.28888888888888886,0.4888888888888889,0.5668379447647047,0.7680843780609012,1.6995525394325568,81,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Anethole trithione,22,0.7111111111111111,0.24444444444444444,1.0,0.0,0.6931693482639218,0.9085482716398413,2.45672117596585,73,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Naproxen,29,0.8666666666666667,0.5333333333333333,0.08888888888888889,0.4666666666666667,0.5980897051753187,0.8081633436105583,1.6842551256218876,78,Cyclooxygenase inhibitor,Afatinib
tier2_unseen_drugs,CVCL_0546,Fenofibrate,23,0.6,0.9555555555555556,0.8888888888888888,0.044444444444444446,0.6796214844081595,0.81718396941836,2.156028308207886,100,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Canagliflozin,21,0.6,0.06666666666666667,0.08888888888888889,0.022222222222222223,0.5754815908233792,0.7991310710156517,1.9449691234002595,151,Glucose transporter inhibitor,Afatinib
tier2_unseen_drugs,CVCL_0546,Verteporfin,22,0.3111111111111111,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.5633934710989832,0.7767344216746807,1.8837310737034205,112,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Dexmedetomidine,27,0.8222222222222222,0.08888888888888889,0.0,0.28888888888888886,0.6312443967754441,0.8508042741182168,1.7637868038663653,118,Adrenoceptor agonist,Afatinib
tier2_unseen_drugs,CVCL_0546,Mozavaptan,22,0.8444444444444444,0.08888888888888889,0.044444444444444446,0.15555555555555556,0.6144427032357973,0.7879447502562013,1.9470011010568555,164,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Docetaxel (Trihydrate),29,0.5111111111111111,0.6222222222222222,0.7333333333333333,0.4444444444444444,0.5915796645400884,0.7724713838842945,1.6618395900062424,74,Microtubule inhibitor,Afatinib
tier2_unseen_drugs,CVCL_0546,Eplerenone,23,0.6444444444444445,0.37777777777777777,0.4444444444444444,0.2,0.5638198126146996,0.8050536485293153,1.8552623826550103,141,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Sivelestat (sodium tetrahydrate),20,0.35555555555555557,0.044444444444444446,0.022222222222222223,0.08888888888888889,0.5460511999834656,0.6885726164482816,1.8780959301143463,119,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Tetracycline (hydrochloride),28,0.9555555555555556,0.4444444444444444,0.1111111111111111,0.7333333333333333,0.5888908094470505,0.8289291627241877,1.6837238486884472,142,unclear,Pravastatin (sodium)
tier2_unseen_drugs,CVCL_0546,Berbamine (dihydrochloride),30,0.9555555555555556,0.8,0.7111111111111111,0.8666666666666667,0.5837389656438122,0.7803829778219733,1.69609553708243,62,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Budesonide,24,0.4888888888888889,0.3111111111111111,0.9555555555555556,0.15555555555555556,0.593130679808131,0.7183827934710688,1.9291919537904294,84,Glucocorticoid receptor agonist,Afatinib
tier2_unseen_drugs,CVCL_0546,Valdecoxib,25,0.5333333333333333,0.5555555555555556,0.5111111111111111,0.5333333333333333,0.566677133521158,0.7625647929670754,1.7770777057067537,107,Cyclooxygenase inhibitor,Afatinib
tier2_unseen_drugs,CVCL_0546,Ataluren,21,0.4,0.37777777777777777,0.4888888888888889,0.24444444444444444,0.5657366167500262,0.7164344122938604,1.8827186041478858,100,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Canagliflozin (hemihydrate),28,0.9555555555555556,0.6,0.7111111111111111,0.9111111111111111,0.5929974807732463,0.781974528509434,1.6390317151401428,80,Glucose transporter inhibitor,Afatinib
tier2_unseen_drugs,CVCL_0546,Omeprazole,21,0.3111111111111111,0.5555555555555556,0.5555555555555556,0.26666666666666666,0.556247891517219,0.8140930370777741,1.8880221328312001,127,unclear,Pravastatin (sodium)
tier2_unseen_drugs,CVCL_0546,Cabozantinib (S-malate),30,0.9777777777777777,0.4888888888888889,0.26666666666666666,0.9555555555555556,0.6138308928098483,0.7717030821975188,1.649284657957509,99,Multi-TK inhibitor,Afatinib
tier2_unseen_drugs,CVCL_0546,Benztropine (mesylate),28,0.6666666666666666,0.4,0.24444444444444444,0.4222222222222222,0.6070658309405388,0.7924139911197458,1.6940922941458942,97,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Carbamazepine,28,0.8444444444444444,0.7333333333333333,0.4,0.7333333333333333,0.5672293450961451,0.7468283142742795,1.6532024533951568,86,HDAC inhibitor,Afatinib
tier2_unseen_drugs,CVCL_0546,Abiraterone acetate,30,0.8444444444444444,0.6888888888888889,0.17777777777777778,0.6888888888888889,0.5936899277101114,0.7717920357255269,1.678009554288987,118,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Proglumide,38,1.0,0.5777777777777777,0.13333333333333333,1.0,0.6008981225857993,0.7776819357292187,1.448798873944686,100,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Delamanid,27,0.8,0.8,0.15555555555555556,0.4666666666666667,0.5721683672424209,0.7687820641307385,1.6762672682694049,117,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Citalopram (hydrobromide),26,0.2,0.8,0.3333333333333333,0.24444444444444444,0.5846373783007408,0.8243279167687105,1.7608584401801477,106,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Vitamin K4,24,0.6444444444444445,0.7333333333333333,0.4666666666666667,0.4222222222222222,0.5922203252839758,0.7491742987209251,1.8003464531331708,134,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Aprepitant,26,0.5111111111111111,0.4,0.35555555555555557,0.4666666666666667,0.612562427216858,0.7501742522883184,1.7385067305679756,103,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Estrone sulfate (potassium),30,1.0,0.6222222222222222,0.3111111111111111,0.8666666666666667,0.6707089603907218,0.8283355164695383,1.7856889882274358,121,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Sonidegib,30,0.9777777777777777,0.6,0.8,0.6888888888888889,0.6548735492716097,0.7846310633598931,1.8885889864010392,89,Sonic inhibitor,Afatinib
tier2_unseen_drugs,CVCL_0546,DTP3,30,0.9777777777777777,0.7111111111111111,0.8222222222222222,0.17777777777777778,0.7732714633950996,0.9560324652267236,2.120498238333362,95,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Erdafitinib,24,0.4444444444444444,0.37777777777777777,0.4222222222222222,0.28888888888888886,0.5775149324529579,0.7516603027143599,1.7828963054117912,101,Other TK inhibitor,Afatinib
tier2_unseen_drugs,CVCL_0546,palbociclib,29,1.0,0.3333333333333333,0.6222222222222222,0.4444444444444444,0.6006447645029089,0.7784514929474737,1.7978468439371904,69,CDK inhibitor,Afatinib
tier2_unseen_drugs,CVCL_0546,Volasertib,26,0.8222222222222222,0.7555555555555555,0.9333333333333333,0.35555555555555557,0.5938007877680276,0.7878723059248998,1.8703406370292575,86,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,TAK-901,23,0.6,0.24444444444444444,0.6,0.022222222222222223,0.6148345459799093,0.8023983219033042,2.056159890721547,123,unclear,Afatinib
tier2_unseen_drugs,CVCL_0546,Vemurafenib,30,1.0,0.9777777777777777,0.8444444444444444,0.7111111111111111,0.6589196060737962,0.8417153526036868,1.9201875834958213,91,RAF inhibitor,Afatinib
tier2_unseen_drugs,CVCL_0546,AT7519,24,0.9333333333333333,0.9555555555555556,0.7777777777777778,0.6,0.5898413031317506,0.7747863730352617,1.8285103542774261,78,CDK inhibitor,Afatinib
tier2_unseen_drugs,CVCL_0546,Anastrozole,30,0.9777777777777777,0.4666666666666667,0.9777777777777777,0.24444444444444444,0.7215186122937574,0.8421879213564698,2.1203104312105148,90,unclear,Temuterkib
tier2_unseen_drugs,CVCL_0546,HI-TOPK-032,21,0.35555555555555557,0.044444444444444446,0.6666666666666666,0.044444444444444446,0.5547829718858808,0.7504802376715571,2.015487246881175,85,unclear,Afatinib
tier2_unseen_drugs,CVCL_0428,Naproxen,24,0.8,0.8,0.4,0.0,0.6566081292651799,0.9787686793268522,1.8976980619911612,97,Cyclooxygenase inhibitor,"Dapagliflozin ((2S)-1,2-propanediol, hydrate)"
tier2_unseen_drugs,CVCL_0428,Verteporfin,21,0.0,0.4,0.2,0.0,0.6411210507390652,0.9066249137683655,1.9883067936161238,100,unclear,Docetaxel
tier2_unseen_drugs,CVCL_0428,"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",29,1.0,0.6,0.0,0.0,0.8535823039409498,1.104662931700784,2.185830814945319,133,Glucose transporter inhibitor,Naproxen
tier2_unseen_drugs,CVCL_0428,Berbamine (dihydrochloride),24,0.2,1.0,1.0,0.0,0.6106921824798338,0.840534272380455,2.018232033477167,75,unclear,Docetaxel
tier2_unseen_drugs,CVCL_0428,Ataluren,24,0.6,0.4,0.8,0.0,0.5869876413178986,0.9165848749599973,1.766848177366389,65,unclear,Docetaxel
tier2_unseen_drugs,CVCL_0428,Proglumide,26,0.6,1.0,0.6,0.0,0.5820022753530746,0.8822629352074829,1.69345445059275,83,unclear,Docetaxel
