cell_line,plate,drug,moa,n_cells,effect,perm_p,significant,n_deg,snr,ceiling_nir,identifiable,isolation,redundant,nn_drug
CVCL_0399,plate4,Tolcapone,unclear,50,,,False,,,0.8387096774193549,True,0.9101821371918297,True,Quinestrol
CVCL_0399,plate4,Terfenadine,unclear,60,,,False,,,0.9032258064516129,True,0.9995244646582134,True,Quinestrol
CVCL_0399,plate4,Aliskiren,unclear,59,,,False,,,1.0,True,1.0220457136015617,False,Ritonavir
CVCL_0399,plate4,Fluvoxamine (maleate),unclear,32,,,False,,,0.3225806451612903,False,0.8405462498804597,True,Ritonavir
CVCL_0399,plate4,S-Adenosyl-L-methionine (disulfate tosylate),unclear,48,,,False,,,0.9354838709677419,True,0.975047413179114,True,Terfenadine
CVCL_0399,plate4,Idarubicin (hydrochloride),DNA synthesis/repair inhibitor,56,,,False,,,1.0,True,1.030362055012389,False,Aliskiren
CVCL_0399,plate4,Elagolix sodium,unclear,49,,,False,,,0.7741935483870968,False,0.9658044637454264,True,Aliskiren
CVCL_0399,plate4,Resveratrol,unclear,32,,,False,,,0.5806451612903226,False,0.8692052962114364,True,Terfenadine
CVCL_0399,plate4,Rapamycin,MTOR inhibitor,41,,,False,,,0.5483870967741935,False,0.91919336860074,True,Quinestrol
CVCL_0399,plate4,Saquinavir,unclear,30,,,False,,,0.6129032258064516,False,0.9544177852119722,True,Ritonavir
CVCL_0399,plate4,Tofacitinib (citrate),JAK/STAT inhibitor,37,,,False,,,0.6774193548387096,False,0.9793526023911886,True,Tolcapone
CVCL_0399,plate4,Thymol,unclear,36,,,False,,,0.6129032258064516,False,0.9678189452506402,True,Ritonavir
CVCL_0399,plate4,Almonertinib (hydrochloride),EGFR/ERBB inhibitor,37,,,False,,,0.6451612903225806,False,0.9255526231207645,True,Aliskiren
CVCL_0399,plate4,Darinaparsin,unclear,30,,,False,,,0.41935483870967744,False,0.8577272250587223,True,Tolcapone
CVCL_0399,plate4,Vilanterol,Adrenoceptor agonist,34,,,False,,,0.5806451612903226,False,0.8616168669212462,True,Terfenadine
CVCL_0399,plate4,Lenalidomide (hemihydrate),unclear,33,,,False,,,0.3548387096774194,False,0.9103258096734616,True,Gemfibrozil
CVCL_0399,plate4,Azithromycin (hydrate),unclear,44,,,False,,,0.8387096774193549,True,0.9728703390271847,True,Ritonavir
CVCL_0399,plate4,Ritonavir,unclear,52,,,False,,,0.967741935483871,True,0.952571709656593,True,Aliskiren
CVCL_0399,plate4,Pentamidine (isethionate),unclear,47,,,False,,,0.7419354838709677,False,0.9424230647149962,True,Quinestrol
CVCL_0399,plate4,Adenosine,unclear,30,,,False,,,0.03225806451612903,False,0.8441623538746423,True,Quinestrol
CVCL_0399,plate4,Sulfisoxazole,unclear,44,,,False,,,0.8064516129032258,True,0.9384146454939805,True,Tolcapone
CVCL_0399,plate4,Radotinib,Other TK inhibitor,30,,,False,,,0.03225806451612903,False,0.8416286005885791,True,Aliskiren
CVCL_0399,plate4,Tucidinostat,HDAC inhibitor,34,,,False,,,0.5483870967741935,False,0.8646037039767549,True,Ritonavir
CVCL_0399,plate4,Vinblastine (sulfate),Microtubule inhibitor,30,,,False,,,0.25806451612903225,False,0.9024914122648504,True,Aliskiren
CVCL_0399,plate4,Palmatine (chloride),unclear,39,,,False,,,0.8064516129032258,True,0.9196774303702574,True,Aliskiren
CVCL_0399,plate4,Sodium Salicylate,Cyclooxygenase inhibitor,32,,,False,,,0.41935483870967744,False,0.8432928697150198,True,Idarubicin (hydrochloride)
CVCL_0399,plate4,Pyridoxine,unclear,39,,,False,,,0.6451612903225806,False,0.9025954003025668,True,Aliskiren
CVCL_0152,plate4,Quinestrol,unclear,57,,,False,,,0.9444444444444444,True,0.9709132160371284,True,S-Adenosyl-L-methionine (disulfate tosylate)
CVCL_0152,plate4,Tofacitinib,JAK/STAT inhibitor,41,,,False,,,0.8333333333333334,True,0.993402693388355,True,Quinestrol
CVCL_0152,plate4,Trimetrexate,DNA synthesis/repair inhibitor,30,,,False,,,0.2777777777777778,False,0.9144177612325998,True,S-Adenosyl-L-methionine (disulfate tosylate)
CVCL_0152,plate4,Gemfibrozil,unclear,37,,,False,,,0.4444444444444444,False,0.9031089373312183,True,Aliskiren
CVCL_0152,plate4,Tolcapone,unclear,43,,,False,,,0.7777777777777778,False,0.8935124063904072,True,Quinestrol
CVCL_0152,plate4,Terfenadine,unclear,41,,,False,,,0.5555555555555556,False,0.9578111537207877,True,Quinestrol
CVCL_0152,plate4,Aliskiren,unclear,45,,,False,,,0.6666666666666666,False,0.9891150979462925,True,Ritonavir
