tier,cell_line,plate,drug,n_total,n_selection,n_strength_used,e_distance,perm_p,significant,distinctiveness
tier1_seen_conditions,CVCL_1717,plate4,Busulfan,27,27,12,0.0008277564893326428,0.5373134328358209,False,0.9710144927536232
tier1_seen_conditions,CVCL_1717,plate4,Megestrol,29,29,12,0.22232964651149345,0.0845771144278607,False,0.927536231884058
tier1_seen_conditions,CVCL_1717,plate4,Ropivacaine (hydrochloride monohydrate),29,29,12,-0.003064979124374645,0.46766169154228854,False,0.7971014492753623
tier1_seen_conditions,CVCL_1717,plate4,Lenalidomide (hemihydrate),24,24,12,-0.04896625855127823,0.6467661691542289,False,0.782608695652174
tier1_seen_conditions,CVCL_1717,plate4,Ciclopirox,29,29,12,0.0032124784319780275,0.40298507462686567,False,0.855072463768116
tier1_seen_conditions,CVCL_1717,plate4,Lidocaine (hydrochloride),26,26,12,-0.03882476621292774,0.6766169154228856,False,1.0
tier1_seen_conditions,CVCL_1717,plate4,Mitoxantrone (dihydrochloride),27,27,12,0.026440216833464092,0.32338308457711445,False,0.855072463768116
tier1_seen_conditions,CVCL_1717,plate4,Radotinib,27,27,12,0.11324692983619578,0.0945273631840796,False,0.855072463768116
tier1_seen_conditions,CVCL_1717,plate4,Adagrasib,27,27,12,0.02708953529796787,0.3333333333333333,False,0.8695652173913043
tier1_seen_conditions,CVCL_1717,plate4,8-Hydroxyquinoline,18,18,12,-0.08039366338127962,0.7562189054726368,False,0.15942028985507245
tier1_seen_conditions,CVCL_1717,plate4,Trifluridine,25,25,12,0.02895811744530974,0.30845771144278605,False,0.30434782608695654
tier1_seen_conditions,CVCL_1717,plate4,Retinoic acid,22,22,12,0.1880294970570997,0.03482587064676617,True,0.7246376811594203
tier1_seen_conditions,CVCL_1717,plate4,Pasireotide (acetate),27,27,12,0.25391068758758273,0.01990049751243781,True,0.9565217391304348
tier1_seen_conditions,CVCL_1717,plate4,L-Thyroxine (sodium salt pentahydrate),27,27,12,-0.09953082041211125,0.7711442786069652,False,0.7536231884057971
tier1_seen_conditions,CVCL_1717,plate4,Berberine (chloride hydrate),17,17,12,0.1644857860162965,0.05472636815920398,False,0.2608695652173913
tier1_seen_conditions,CVCL_1717,plate4,Fusidic acid,16,16,12,0.3035342054953265,0.029850746268656716,True,0.7681159420289855
tier1_seen_conditions,CVCL_1717,plate4,Cloxacillin (sodium),17,17,12,0.08021166624421028,0.13930348258706468,False,0.2028985507246377
tier1_seen_conditions,CVCL_1717,plate4,Folic acid,17,17,12,0.11610531477962738,0.11442786069651742,False,0.17391304347826086
tier1_seen_conditions,CVCL_1717,plate4,Selinexor,19,19,12,0.02744079339302452,0.373134328358209,False,0.5507246376811594
tier1_seen_conditions,CVCL_1717,plate4,Adenine,14,14,12,0.13284121765461876,0.09950248756218906,False,0.08695652173913043
tier1_seen_conditions,CVCL_1717,plate4,Amsacrine,21,21,12,0.2195212971675531,0.0845771144278607,False,0.21739130434782608
tier1_seen_conditions,CVCL_1717,plate4,Chlorhexidine (diacetate),28,28,12,-0.015422023896260129,0.46766169154228854,False,0.9420289855072463
tier1_seen_conditions,CVCL_1717,plate4,Cysteamine (hydrochloride),23,23,12,0.06263848148703666,0.22885572139303484,False,0.42028985507246375
tier1_seen_conditions,CVCL_1717,plate4,Vinblastine (sulfate),29,29,12,0.025612735266959064,0.34328358208955223,False,0.5362318840579711
tier1_seen_conditions,CVCL_0480,plate4,Quinestrol,27,27,12,0.03245091368559372,0.36318407960199006,False,0.8987341772151899
tier1_seen_conditions,CVCL_0480,plate4,Tofacitinib,28,28,12,-0.0015524933521557926,0.5174129353233831,False,0.7848101265822784
tier1_seen_conditions,CVCL_0480,plate4,Trimetrexate,29,29,12,0.03292589701973725,0.3283582089552239,False,1.0
tier1_seen_conditions,CVCL_0480,plate4,18β-Glycyrrhetinic acid,26,26,12,0.0305742765580046,0.3582089552238806,False,0.8987341772151899
tier1_seen_conditions,CVCL_0480,plate4,Terfenadine,28,28,12,-0.0013072435470373733,0.48756218905472637,False,0.9367088607594937
tier1_seen_conditions,CVCL_0480,plate4,Fluvoxamine (maleate),29,29,12,0.09664680506060463,0.14427860696517414,False,1.0
tier1_seen_conditions,CVCL_0480,plate4,S-Adenosyl-L-methionine (disulfate tosylate),26,26,12,-0.04696532300866174,0.6716417910447762,False,0.8354430379746836
tier1_seen_conditions,CVCL_0480,plate4,Idarubicin (hydrochloride),28,28,12,0.2962478535131545,0.009950248756218905,True,0.9113924050632911
tier1_seen_conditions,CVCL_0480,plate4,Elagolix sodium,26,26,12,0.1547154225158689,0.03482587064676617,True,0.6075949367088608
tier1_seen_conditions,CVCL_0480,plate4,Resveratrol,25,25,12,0.04162067129216851,0.3383084577114428,False,0.7468354430379747
tier1_seen_conditions,CVCL_0480,plate4,Rapamycin,25,25,12,0.19712918916467181,0.07462686567164178,False,0.7341772151898734
tier1_seen_conditions,CVCL_0480,plate4,Tofacitinib (citrate),26,26,12,-0.05201511753149468,0.6218905472636815,False,0.8354430379746836
tier1_seen_conditions,CVCL_0480,plate4,Thymol,26,26,12,0.13407825185616495,0.10945273631840796,False,0.5822784810126582
tier1_seen_conditions,CVCL_0480,plate4,Darinaparsin,27,27,12,0.12006490956697924,0.18407960199004975,False,0.9240506329113924
tier1_seen_conditions,CVCL_0480,plate4,Vilanterol,29,29,12,-0.03560406659530635,0.5472636815920398,False,0.9746835443037974
